Nom,Viet
唏殘特𧡊㭲枌𱺵枚,Hơi tàn được thấy gốc phần là may”.
賀功𱔩㐌過醝,Hạ công chén đã quá say
胡公旦𣅶𤏬𣈗𢖵𫥨,Hồ công đến lúc rạng ngày nhớ ra
𢪀命方面國家,Nghĩ mình phương diện quốc gia
官𨕭𥄮𫴋𠊛些𬂙𠓨,Quan trên nhắm xuống người ta trông vào
沛從𦝄𫗄𫨩牢,Phải tuồng trăng gió hay sao
事尼別并世芇特低,Sự này biết tính thế nào được đây
公衙皮貝𤏬𣈗,Công nha vừa buổi rạng ngày
決情胡買断𬆄𱥺排,Quyết tình Hồ mới đoán ngay một bài
令官埃𪾋改𠳒,Lệnh quan ai dám cãi lời
押情買擀朱𠊛土官,Ép tình mới gán cho người thổ quan
翁絲寔𠰚多端,Ông tơ thực nhé đa đoan
𦲿幔𢷀濕𦰟畑挑高,Xe dây sao khéo vơ càn vơ xiên
轎花押𥊢𫴋船,Kiệu hoa áÃ¯p thẳng xuống thuyền
𦲿幔𢷀濕𦰟畑挑高,Lá màn rủ thấp ngọn đèn khêu cao
娘強塢柳派桃,Nàng càng ủ liễu phai đào
𤾓份芇固份芇份鮮,Trăm phần nào có phần nào phần tươi
忊身洁垃㳥𣼯,Đành thân cát lấp sóng vùi
刧功吒媄舌𠁀聰明,Cướp công cha mẹ thiệt đời thông minh
蹎𡗶𩈘𣷭冷汀,Chân trời mặt bể lênh đênh
𢷀𩩫別𠳚死生准芇,Nắm xương biết gửi tử sinh chốn nào
緣兜埃𠞹絲桃,Duyên đâu ai dứt tơ đào
𡢻兜埃俸㩫𠓨羨坭,Nợ đâu ai bỗng dắt vào tận nơi
身牢身旦世尼,Thân sao thân đến thế này
群𣈗芇拱餘𣈗意催,Còn ngày nào cũng dư ngày ấy thôi
㐌空別𤯩𱺵𢝙,Đã không biết sống là vui
𬌓身芇別舌耒𱺵傷,Tấm thân nào biết thiệt rồi là thương
𱥺命𠹽䔲𤾓塘,Một mình cay đắng trăm đường
催時󰞺玉散鐄時催,Thôi thì nát ngọc tan vàng thì thôi
𤗖𦝄㐌搁𡽫兑,Mảnh trăng đã gác non đoài
𱥺命𨻫仍𥪸𡓮渚双,Một mình luống những đứng ngồi chưa xong
潮兜浽㗂同同,Triều đâu nổi tiếng đùng đùng
𠳨𫥨買別浪滝錢塘,Hỏi ra mới biết rằng sông Tiền Đường
𢖵𠳒神夢𤑟𤉜,Nhớ lời thần mộng rõ ràng
尼催歇刧断腸𱺵低,Này thôi hết kiếp đoạn tràng là đây
淡仙娘𠰚固𫨩,Đạm Tiên nàng nhé có hay
限些時沛𤲂尼逴些,Hẹn ta thì phải dưới này rước ta
𤲂畑産幅箋花,Dưới đèn sẵn bức tiên hoa
𱥺篇絶筆噲𱺵底𡢐,Một thiên tuyệt bút gọi là để sau
𬮌蓬倍𨷑簾珠,Cửa bồng vội mở rèm châu
𡗶高滝𢌌𱥺牟包𱺵,Trời cao sông rộng một màu bao la
浪徐公厚待些,"Rằng: ""Từ công hậu đãi ta"
𡭧為役渃麻𫥨負𢚸,Chút vì việc nước mà ra phụ lòng
𱥘𫯳麻吏𥙩𫯳,Giết chồng mà lại lấy chồng
𩈘芇麻吏𥪸𥪞𡎝𠁀,Mặt nào mà lại đứng trong cõi đời
催時𱥺𣨰朱耒,Thôi thì một thác cho rồi
𬌓𢚸付默𨕭𡗶𤲂滝,"Tấm lòng phó mặc trên trời dưới sông""."
𬂙撝𡥵渃溟濛,Trông vời con nước mênh mông
󰝂命招𫴋𡧲𣳔長江,Đem mình gieo xuống giữa dòng trường giang
土官蹺𢵼倍傍,Thổ quan theo vớt vội vàng
時它㴷玉沉香過耒,Thì đà đắm ngọc chìm hương quá rồi
傷台拱𱥺刧𠊛,Thương thay cũng một kiếp người
害台𫼳𥙩色才爫之,Hại thay mang lấy sắc tài làm chi
仍𱺵冤苦流離,Những là oan khổ lưu ly
除朱歇刧群咦𱺵身,Chờ cho hết kiếp còn gì là thân
𨑮𠄻𢆥闭饒吝,"Mười lăm năm, bấy nhiêu lần"
爫𦎛朱客紅裙此𤐝,Làm gương cho khách hồng quần thử soi
𠁀𠊛旦𱐭時催,Đời người đến thế thì thôi
𥪞機陰極陽回坤𫨩,Trong cơ âm cực dương hồi khôn hay
𱥯𠊛孝義𠸗󰅒,Mấy người hiếu nghĩa xưa nay
𡗶爫之旦𥹰𣈗強傷,Trời làm chi đến lâu ngày càng thương
𮗓緣自節啫娘,Giác Duyên từ tiết giã nàng
㧅瓢掛篋𢌌塘雲遊,Đeo bầu quẩy tráp rộng đường vân du
﨤𱙘三合道姑,Gặp bà Tam Hợp đạo cô
從容𠳨歇𡮈蘇事娘,Thong dong hỏi hết nhỏ to sự nàng
𠊛牢孝義睹塘,"""Người sao hiếu nghĩa đủ đường"
刧牢逸仍断腸世催,"Kiếp sao rặt những đoạn trường thế thôi""."
師浪禍福道𡗶,Sư rằng: “hoạ phúc đạo trời
檜源拱於𢚸𠊛麻𫥨,Cội nguồn cũng ở lòng người mà ra
在𡗶麻拱在些,Tại trời mà cũng tại ta
脩𱺵檜福情𱺵𦀊冤,"Tu là cỗi phúc, tình là dây oan"
翠翹色巧坤頑,Thuý Kiều sắc sảo khôn ngoan
無緣𱺵分紅顔㐌忊,Vô duyên là phận hồng nhan đã đành
吏𫼳𥙩𱥺𡨸情,Lại mang lấy một chữ tình
墟墟命𥾾𥙩命𠓨𥪞,Khư khư mình buộc lấy mình vào trong
丕𢧚仍准從容,Vậy nên những chốn thong dong
於空安穩𡓮空凭鐄,"Ở không yên ổn, ngồi không vững vàng"
魔迻𡓃鬼󰝂塘,"Ma đưa lối, quỷ đem đường"
吏尋仍准断腸麻𠫾,Lại tìm những chốn đoạn trường mà đi
歇難意旦難箕,Hết nạn ấy đến nạn kia
青樓𠄩𦀎青衣𱥺吝,Thanh lâu hai lượt thanh y một lần
𡧲𨦩槊𢫡鎌陳,Giữa vòng giáo dựng gươm trần
掑𪘵𤞻𤢿𠳚身碎𠾕,Kề răng hùm sói gửi thân tôi đòi
𡧲𣳔渃汜㳥𣼭,Giữa dòng nước dẫy sóng dồi
𠓀頷𧏵𩵜招𩝇永腥,Trước hàm rồng cá gieo mồi vắng tanh
寃箕蹺買貝情,Oan kia theo mãi với tình
𱥺命命𠹾𱥺命命𫨩,Một mình mình chịu một mình mình hay
爫朱𤯨墮𣨰𣹓,Làm cho sống đoạ thác đày
断腸朱歇刧尼買催,Đoạn trường cho hết kiếp này mới thôi”.
𮗓緣𦖑呐用移,Giác Duyên nghe nói rụng rời
𱥺𠁀娘𠰚傷喂群咦,"""Một đời nàng nhé thương ôi còn gì"
師浪双拯兮之,"Sư rằng: ""Song chẳng hề chi"
業緣𢩮吏斤𠫾群𡗉,Nghiệp duyên nhắc lại cân đi còn nhiều
𪹾𥪞罪業翠翹,Xét trong tội nghiệp Thuý Kiều
𢹇條情愛塊條邪淫,"Mắc điều tình ái, khỏi điều tà dâm"
𥙩情深者情深,Lấy tình thâm trả tình thâm
半命㐌動孝心旦𡗶,Bán mình đã động hiếu tâm đến trời
害𱥺𠊛救𱥺𠊛,Hại một người cứu một người
別塘輕重別𠳒沛庄,Biết đường khinh trọng biết lời phải chăng
所功德意埃朋,Thửa công đức ấy ai bằng
夙愆㐌𣳮淩淩攊耒,Túc khiên đã rửa lâng lâng rạch ròi
欺𢧚𡗶拱朝𠊛,Khi nên trời cũng chiều người
弭羕𡢻𠓀𡊰賠緣𡢐,"Nhẹ nhàng nợ trước, đền bồi duyên sau"
覺緣油𢖵𱻊𠑬,Giác Duyên dù nhớ nghĩa nhau
錢塘且𱥺𤿤𦰤逴𠊛,Tiền Đường thả một bè lau rước người
𠓀𡢐朱院沒𠳒,Trước sau cho vẹn một lời
緣些麻拱福𡗶之空,"Duyên ta mà cũng phúc trời chi không""."
𮗓緣𦖑呐𢜠𢚸,Giác Duyên nghe nói mừng lòng
鄰𱺵尋趣边滝錢塘,Lân la tìm thú bên sông Tiền Đường
打筝笘𡳽草堂,Đánh tranh chụm nóc thảo đường
𱥺间渃碧𩄲鐄𢺺堆,Một gian nước biếc mây vàng chia đôi
𠾔𢆥魚父𠄩𠊛,"Thuê năm, ngư phủ hai người"
㨂船直𣷷結𦄴𢬥滝,"Đóng thuyền chực bến, kết chài giăng sông"
𱥺𢚸詫管𱥯功,Một lòng sá quản mấy công
窖台﨤𨔉拱𥪞轉運,Khéo thay gặp gỡ cũng trong chuyển vần
翹自招𫴋溋銀,Kiều từ gieo xuống duềnh ngân
渃𣵶俸㐌㵢寅羨坭,Nước xuôi bỗng đã trôi dần tận nơi
漁翁𦀽䋥𢵼𠊛,Ngư ông kéo lưới vớt người
𡄎唎三合𤑟𨑮拯吪,Ngẫm lời Tam Hợp rõ mười chẳng ngoa
𨕭𦩚冽沫襖𬗢,Trên mui lướt mướt áo là
酉淫唏渃渚𤍶𩃳𦎛,Dẫu dầm hơi nước chưa loà bóng gương
𮗓緣𥆾舌𩈘娘,Giác Duyên nhìn thiệt mặt nàng
娘群帖帖聀鐄渚派,Nàng còn thiêm thiếp giấc vàng chưa phai
𢠩忙魄桂魂梅,Mơ màng phách quế hồn mai
淡仙脱㐌𧡊𠊛𣈗𠸗,Đạm Tiên thoắt đã thấy người ngày xưa
浪碎㐌固𢚸除,"Rằng: ""Tôi đã có lòng chờ"
𠅎功𨑮𱥯𢆥乘於低,Mất công mười mấy năm thừa ở đây
姉牢分𤘁福𠫅,Chị sao phận mỏng phúc dày
刧𠸗㐌丕刧尼易埃,Kiếp xưa đã vậy kiếp này dễ ai
𬌓𢚸㐌透旦𡗶,Tấm lòng đã thấu đến trời
半命𱺵孝救𠊛𱺵仁,"Bán mình là hiếu, cứu người là nhân"
𱥺念為渃為民,Một niềm vì nước vì dân
陰功拮𱥺銅斤㐌𦓅,Âm công cất một đồng cân đã già
断腸數捽𠸜𫥨,Đoạn trường sổ rút tên ra
断腸疎沛迻麻者𠑬,Đoạn trường thơ phải đưa mà trả nhau
群𡗉享受𧗱𥹰,Còn nhiều hưởng thụ về lâu
緣𠸗𡃋陣福𡢐𣼭𤁓,"Duyên xưa tròn trặn, phúc sau dồi dào""."
娘群魚菫別牢,Nàng còn ngơ ngẩn biết sao
濯泉𦖑㗂噲𠓨边𦖻,Trạc Tuyền nghe tiếng gọi vào bên tai
逸命脱醒聀梅,Giật mình thoắt tỉnh giấc mai
氷傾芇㐌別埃麻𥆾,Bâng khuâng nào đã biết ai mà nhìn
𥪞船芇𧡊淡仙,Trong thuyền nào thấy Đạm Tiên
边命只𧡊覺緣𡓮掑,Bên mình chỉ thấy Giác Duyên ngồi kề
𧡊𠑬𢜠𢙲𤾓皮,Thấy nhau mừng rỡ trăm bề
𢶿船買逴娘𧗱草蘆,Dọn thuyền mới rước nàng về thảo lư
𱥺茹終乍𣋽𬁑,Một nhà chung chạ sớm trưa
𫗄𦝄沫𩈘𪉥荼齋𢚸,"Gió trăng mát mặt, muối dưa chay lòng"
𦊛皮八咯溟濛,Tư bề bát ngát mênh mông
潮𤼸𣋚𣋽𩄲篭𠓀𡢐,"Triều dâng hôm sớm, mây lồng trước sau"
難𠸗拙瀝漏漏,Nạn xưa trút sạch làu làu
緣𠸗渚易別兜准尼,Duyên xưa chưa dễ biết đâu chốn này
餒娘灾難㐌𣹓,Nỗi nàng tai nạn đã đầy
餒払金重闭迡買傷,Nỗi chàng Kim Trọng bấy chầy mới thương
自𣈗𬮙𨤵扶喪,Từ ngày muôn dặm phù tang
姅𢆥於坦遼陽吏茹,Nửa năm ở đất Liêu Dương lại nhà
倍𨖅園翠𠻀𪡔,Vội sang vườn Thuý dò la
𥆾䀡風景𫢩它恪𠸗,Nhìn xem phong cảnh nay đà khác xưa
𣹓園𦹵木盧𠽔,Đầy vườn cỏ mọc lưa thưa
窻𩄲𡕷𡎝壁湄也移,Song mây quạnh quẽ vách mưa rã rời
𠓀𡢐芇𧡊𩃳𠊛,Trước sau nào thấy bóng người
花桃𢆥外群唭𫗄東,Hoa đào năm ngoái còn cười gió đông
㕸𠱊燕翎梁空,Sập sè én liệng rường không
𦹵攔𩈘坦𦼔封𨁪𩌂,Cỏ lan mặt đất rêu phong dấu giày
𡳜墻荄𫈅木𣹓,Cuối tường gai góc mọc đầy
𠫾𧗱尼仍𡓃尼𢆥𠸗,Đi về này những lối này năm xưa
終𨒺𣼽汔如祠,Chung quanh lặng ngắt như tờ
餒念心事悲𣇞𠳨埃,Nỗi niềm tâm sự bây giờ hỏi ai
𠌇盈固几𨖅𨔈,Láng giềng có kẻ sang chơi
鄰𱺵仕𠳨𱥺𠄩事情,Lân la sẽ hỏi một hai sự tình
𠳨翁翁𢹇訟庭,"Hỏi ông, ông mắc tụng đình"
𠳨娘娘㐌半命救吒,"Hỏi nàng, nàng đã bán mình cứu cha"
𠳨茹茹㐌移賒,"Hỏi nhà, nhà đã dời xa"
𠳨払王貝共𱺵翠雲,Hỏi chàng Vương với cùng là Thuý Vân
調𱺵沙率庫巾,Đều là sa sút khó khăn
𦁼𠾔曰𢩤劍咹吝回,May thuê viết mướn kiếm ăn lần hồi
條兜𩄰打𦡟𡗶,Điều đâu sét đánh lưng trời
𡁾𦖑払𡁾用移挈包,Thoạt nghe chàng thoắt rụng rời xiết bao
𠳨𠶀移住坭㝹,Hỏi thăm di trú nơi nao
劍塘払買尋𠓨羨坭,Kiếm đường chàng mới tìm vào tận nơi
茹箏壁坦左哉,Nhà tranh vách đất tả tơi
𦰤撩簾濕竹掑藩疎,Lau treo rèm thấp trúc cài phên thưa
𱥺𡑝坦𦹵淫湄,Một sân đất cỏ dầm mưa
強嗷喭餒強魚謹𱻌,"Càng ngao ngán nỗi, càng ngơ ngẩn dường"
打料𨖲㗂外墻,Đánh liều lên tiếng ngoài tường
払王𦖑㗂倍傍𧼋𫥨,Chàng Vương nghe tiếng vội vàng chạy ra
㩫𢬣倍逴𠓨茹,Dắt tay vội rước vào nhà
𠃅𡢐員外翁𱙘𫥨𣦍,Mái sau viên ngoại ông bà ra ngay
哭嘆計歇念西,Khóc than kể hết niềm tây
払喂別餒渃尼朱猪,"""Chàng ôi! biết nỗi nước này cho chưa"
翹兒分𤘁如祠,Kiều nhi phận mỏng như tờ
𱥺𠳒㐌磊𩯀絲貝払,Một lời đã lỗi tóc tơ với chàng
﨤干家變𨓐𱻌,Gặp cơn gia biến lạ dường
半命伮沛尋塘救吒,Bán mình nó phải tìm đường cứu cha
用浪欺𨀈蹎𫥨,Dùng dằng khi bước chân ra
極𤾓𠦳餒吲𠀧𦊚吝,"Cực trăm nghìn nỗi, dặn ba bốn lần"
啐𠳒𥘀貝郎君,Trót lời nặng với lang quân
摱昆㛪伮翠雲𠳙𠳒,Mượn con em nó Thuý Vân thay lời
噲𱺵者𡭧𱻊𠊛,Gọi là trả chút nghĩa người
情尼弋弋閍𠁀渚𫺴,Tình này dằng dặc muôn đời chưa quên
刧尼緣㐌負緣,Kiếp này duyên đã phụ duyên
夜臺群別𠱊𡊰來生,"Dạ đài còn biết, sẽ đền lai sinh"
𱥯𠳒記註丁寧,Mấy lời ký chú đinh ninh
𠳚𢚸底吏拮命𫥨𠫾,Gửi lòng để lại cất mình ra đi
分牢薄𱥯翹兒,Phận sao bạc mấy Kiều nhi
払金𧗱妬𡥵時𠫾兜,"Chàng Kim về đó, con thì đi đâu""."
翁𱙘強呐強𤴬,Ông bà càng nói càng đau
払強𦖑呐強油如荼,Chàng càng nghe nói càng dàu như dưa
勿命浘𫗄𣻆湄,Vật mình vẫy gió tuôn mưa
淫𣾸湥玉矧蜍魂梅,Dầm dề giọt ngọc thẫn thờ hồn mai
𤴬𠾕段𤴥𠾕催,"Đau đòi đoạn, ngất đòi thôi"
醒𫥨吏哭哭耒吏迷,"Tỉnh ra lại khóc, khóc rồi lại mê"
𧡊払𤴬餒別離,Thấy chàng đau nỗi biệt ly
忍𱥶翁買撫𧗱解𡅳,Nhịn ngừng ông mới vỗ về giải khuyên:
碑𣇞板㐌埬船,"""Bây giờ ván đã đóng thuyền"
㐌忊分萡坤𡊰情鍾,Đã đành phận bạc khôn đền tình chung
過傷𡭧𱻊㧅𢸚,Quá thương chút nghĩa đèo bòng
𠦳鐄身意易𠸣補牢,"Nghìn vàng thân ấy dễ hòng bỏ sao""."
𠴗𠯼𡅳解𤾓朝,Dỗ dành khuyên giải trăm chiều
焒煩強拉強挑䋦煩,Lửa phiền càng dập càng khêu mối phiền
誓初𢷣旦金環,Thề xưa giở đến kim hoàn
𧵑初吏𢷣旦彈貝香,Của xưa lại giở đến đàn với hương
生強𬂙𧡊強傷,Sinh càng trông thấy càng thương
肝強息最𦛌強㤕沙,"Gan càng tức tối, ruột càng xót xa"
浪碎啐呂蹎𫥨,Rằng: “Tôi trót lỡ chân ra
底朱旦餒㵢花𣼸䕯,Để cho đến nỗi trôi hoa giạt bèo
共𠑬誓説㐌𡗉,Cùng nhau thề thốt đã nhiều
仍條鐄跢沛條呐空,"Những điều vàng đá, phải điều nói không"
猪𧜖襘拱𡞕𫯳,Chưa chăn gối cũng vợ chồng
𢚸芇麻𡝖𠞹𢚸朱當,Lòng nào mà nỡ dứt lòng cho đang
包饒𧵑𱥯𣈗塘,"Bao nhiêu của, mấy ngày đường"
群碎碎𱥺﨤娘買催,"Còn tôi, tôi một gặp nàng mới thôi""."
餒傷呐拯歇𠳒,Nỗi thương nói chẳng hết lời
謝辞生買湥洡𨀈𫥨,Tạ từ sinh mới sụt sùi bước ra
倍𧗱𢯢准園花,Vội về sửa chốn vườn hoa
逴𠶆員外翁𱙘共𨖅,Rước mời viên ngoại ông bà cùng sang
晨昏𢟙𡭧礼常,Thần hôn chăm chút lễ thường
養親𠊝𬌓𢚸娘𣈗初,Dưỡng thân thay tấm lòng nàng ngày xưa
丁寧𥓄淚劄書,Đinh ninh mài lệ chép thư
割𠊛尋嘬迻祠𠴍㖇,Cắt người tìm tõi đưa tờ nhắn nhe
別包功𢩤𧵑𠾔,Biết bao công mướn của thuê
臨清𱥯度𠫾𧗱𨤵𣾺,Lâm Thanh mấy độ đi về dặm khơi
𠊛𱥺坭𠳨𱥺坭,"Người một nơi, hỏi một nơi"
溟濛芇別𣷭𡗶坭㝹,Mênh mông nào biết bể trời nơi nao
生強慘切渴滈,Sinh càng thảm thiết khát khao
如燶肝鉄如鉋𢚸𣘈,Như nung gan sắt như bào lòng son
𦛌蚕𣈗𱥺痚𤈊,Ruột tằm ngày một héo don
雪霜𣈗𱥺耗𱱊命蟡,Tuyết sương ngày một hao mòn mình ve
矧䜹𣅶醒𣅶迷,Thẫn thờ lúc tỉnh lúc mê
𧖱蹺渃眜魂離占包,"Máu theo nước mắt, hồn lìa chiêm bao"
椿萱𢗼𢜝挈牢,Xuân huyên lo sợ xiết sao
過𫥨欺旦世芇麻𫨩,Quá ra khi đến thế nào mà hay
倍傍攕礼撰𣈗,Vội vàng sắm lễ chọn ngày
緣雲𣋽㐌車𦀊朱払,Duyên Vân sớm đã xe dây cho chàng
𠊛窈窕客文章,"Người yểu điệu, khách văn chương"
𱰺才𡛔色春當皮時,Trai tài gái sắc xuân đương vừa thì
雖浪𢝙𡨸于歸,Tuy rằng vui chữ vu quy
𢝙尼㐌挌愁箕特芇,Vui này đã gác sầu kia được nào
欺咹於𣅶𫥨𠓨,"Khi ăn ở, lúc ra vào"
強歐緣買強𤁓情𠸗,Càng âu duyên mới càng dào tình xưa
餒娘𢖵旦包𣇞,Nỗi nàng nhớ đến bao giờ
𣻆珠𠾕陣紆絲𤾓𨦩,"Tuôn châu đòi trận, vò tơ trăm vòng"
固欺永𨤔書房,Có khi vắng vẻ thư phòng
炪爐香𢷣泛桐𣈗𠸗,Đốt lò hương giở phím đồng ngày xưa
𢯏𢴾𠱋𠯇㗂絲,Bẻ bai rủ rỉ tiếng tơ
沉𢒎𤁕𤐡𫗄迻𢯦簾,"Trầm bay nhạt khói, gió đưa lay rèm"
羕如边厔𠓀㙴,Dường như bên chái trước thềm
㗂嬌同望𩃳袩𢠩忙,Tiếng kiều đồng vọng bóng xiêm mơ màng
𤳄𢚸鑿跢𥱬鐄,Bởi lòng tạc đá ghi vàng
想娘𢧚吏𧡊娘𧗱低,Tưởng nàng nên lại thấy nàng về đây
仍𱺵煩悶𣎀𣈗,Những là phiền muộn đêm ngày
春秋別㐌𢬭𠊝𱥯吝,Xuân thu biết đã đổi thay mấy lần
制科﨤會場文,Chế khoa gặp hội trường văn
王金共占榜春𱥺𣈗,"Vương, Kim cùng chiếm bảng xuân một ngày"
𲈾𡗶𢌌𨷑塘𩄲,Cửa trời rộng mở đường mây
花嘲𡉦杏香𢒎𨤵枌,Hoa chào ngõ hạnh hương bay dặm phần
払王𢖵旦賒𧵆,Chàng Vương nhớ đến xa gần
𨖅茹終老謝恩周全,Sang nhà Chung lão tạ ân chu tuyền
情𠸗恩者𱻊𡊰,Tình xưa ân trả nghĩa đền
加親吏買結緣朱陳,Gia thân lại mới kết duyên Châu Trần
金自弭𨀈青雲,Kim từ nhẹ bước thanh vân
餒娘強𢪀賒𧵆強傷,Nỗi nàng càng nghĩ xa gần càng thương
意埃吲玉誓鐄,Ấy ai dặn ngọc thề vàng
悲𣇞金馬玉堂貝埃,"Bây giờ kim mã, ngọc đường với ai"
䓪䕯蹎㳥落類,Rễ bèo chân sóng lạc loài
𢪀命榮顕傷𠊛流離,Nghĩ mình vinh hiển thương người lưu ly
𠳐𫥨外任臨淄,Vâng ra ngoại nhậm Lâm Tri
𬮦山𠦳𨤵妻兒𱥺團,"Quan san nghìn dặm, thê nhi một đoàn"
琴堂𣈗𣎃青𫔮,Cầm đường ngày tháng thanh nhàn
𣋽𣅘㗂鶴㗂弹逍遙,Sớm khuya tiếng hạc tiếng đàn tiêu dao
𣎀春帳𢷀花桃,Đêm xuân trướng rủ hoa đào
娘雲𬛩俸占包𧡊娘,Nàng Vân nằm bỗng chiêm bao thấy nàng
醒𫥨買𭓇共払,Tỉnh ra mới học cùng chàng
𦖑𠳒払拱𠄩塘信𪟽,Nghe lời chàng cũng hai đường tín nghi
怒臨清貝臨淄,Nọ Lâm Thanh với Lâm Tri
恪𠑬𱥺𫳘或欺固啉,Khác nhau một chữ hoặc khi có lầm
𥪞機声氣相尋,Trong cơ thanh khí tương tầm
於低或固佳音庄𱺵,Ở đây hoặc có giai âm chăng là
升堂払買𠳨查,Thăng đường chàng mới hỏi tra
户都固几吏𦓅𠽔𨖲,Họ Đô có kẻ lại già thưa lên
事尼㐌外𨑮年,"""Sự này đã ngoại mười niên"
碎它別𩈘別𠸜伶伶,Tôi đà biết mặt biết tên rành rành
秀𱙘共馬監生,Tú Bà cùng Mã Giám Sinh
固模𠊛於北京迻𧗱,Có mua người ở Bắc Kinh đưa về
翠翹色巧埃皮,Thuý Kiều sắc sảo ai bì
㐌藝弹吏𲄋藝文疎,Đã nghề đàn lại đủ nghề văn thơ
堅貞拯沛肝皮,Kiên trinh chẳng phải gan vừa
料命世意沛𩢬世箕,Liều mình thế ấy phải lừa thế kia
風塵𠹾㐌醯𠽮,Phong trần chịu đã ê chề
𦀊緣𡢐吏車𧗱束郎,Tơ duyên sau lại xe về Thúc lang
沛𢬣𡞕奇𢰺傍,Phải tay vợ cả phũ phàng
扒𧗱無錫算塘𢯏花,Bắt về Vô Tích toan đường bẻ hoa
堛命娘沛遁𫥨,Bực mình nàng phải trốn ra
拯枚吏﨤𱥺茹萡箕,Chẳng may lại gặp một nhà Bạc kia
脱奔𧗱脱半𠫾,"Thoắt buôn về, thoắt bán đi"
𩄲㵢䕯浽少咦𱺵坭,Mây trôi bèo nổi thiếu gì là nơi
俸兜吏﨤𱥺𠊛,Bỗng đâu lại gặp một người
欣𠁀智勇迎𡗶威灵,Hơn đời trí dũng nghiêng trời uy linh
𥪞𢬣𨑮萬精兵,Trong tay mười vạn tinh binh
捁𧗱埬秩𱥺城臨淄,Kéo về đóng chật một thành Lâm Tri
𩯀絲各跡每欺,Tóc tơ các tích mọi khi
怨時者怨恩時者恩,Oán thì trả oán ân thì trả ân
㐌𢧚固𱻊固仁,Đã nên có nghĩa có nhân
𠓀𡢐論院賒𧵆議𠸦,Trước sau trọn vẹn xa gần ngợi khen
双群渚別户𠸜,Song còn chưa biết họ tên
事尼𠳨束生員買詳,"Sự này hỏi Thúc Sinh viên mới tường""."
𦖑𠳒都呐𤑟𤉜,Nghe lời Đô nói rõ ràng
即時迻帖𠶆払束生,Tức thì đưa thiếp mời chàng Thúc Sinh
餒娘𠳨歇分明,Nỗi nàng hỏi hết phân minh
𫯳𡥵兜佐姓名𱺵咦,"""Chồng con đâu tá tính danh là gì"
束浪﨤𣅶乱離,Thúc rằng: “Gặp lúc loạn ly
𥪞軍碎𠳨少咦𩯀絲,Trong quân tôi hỏi thiếu gì tóc tơ
大王𠸜海户徐,"Đại vương tên Hải, họ Từ"
打悁𤾓陣飭餘𬮙𠊛,"Đánh quen trăm trận, sức dư muôn người"
﨤娘時於州台,Gặp nàng thời ở Châu Thai
𨓐咦國色天才沛緣,Lạ gì quốc sắc thiên tài phải duyên
捤摓𥪞闭饒年,Vẫy vùng trong bấy nhiêu niên
爫𢧚動地驚天同同,Làm nên động địa kinh thiên đùng đùng
大屯軍埬𡎝東,Đại đồn quân đóng cõi đông
𧗱𡢐拯別雲夢爫牢,Về sau chẳng biết vân mòng làm sao”.
𦖑詳梗𦰟消耗,Nghe tường ngành ngọn tiêu hao
𢚸𥢅払𨻫勞刀矧蜍,Lòng riêng chàng luống lao đao thẫn thờ
㤕台隻𦲿巴為,Xót thay chiếc lá bơ vơ
刧風塵𢷀包𣇞朱双,Kiếp phong trần rũ bao giờ cho xong
花蹺渃沚𣵶𣳔,Hoa theo nước chảy xuôi dòng
㤕身沉浽𤴬𢚸合散,"Xót thân chìm nổi, đau lòng hợp tan"
𠳒𠸗㐌磊𬮙萬,Lời xưa đã lỗi muôn vàn
𤗖𦎛群妬泛弹群低,Mảnh gương còn đó phím đàn còn đây
弹琴窖菫魚𦀊,Đàn cầm khéo ngẩn ngơ dây
焒香別固刧尼女催,Lửa hương biết có kiếp này nữa thôi
萍蓬群几賒吹,Bình bồng còn kẻ xa xôi
鼎鍾牢𡝖咹𡓮朱安,Đỉnh chung sao nỡ ăn ngồi cho an
㕸懞撩印辞官,Rắp mong treo ấn từ quan
𱥯滝拱𣷮𱥯岸拱坡,"Mấy sông cũng lội, mấy ngàn cũng pha"
𤄱命𥪞盎干戈,Dấn mình trong áng can qua
𠓨生𫥨死禍𱺵𧡊𠑬,Vào sinh ra tử hoạ là thấy nhau
吏𠲖𡗶瀋域溇,Lại e trời thẳm vực sâu
𩃳𪀄沁𩵜別兜麻𥆾,Bóng chim tăm cá biết đâu mà nhìn
仍𱺵拫那待信,Những là nấn ná đợi tin
𣌝湄別㐌𱥯番𢬭移,Nắng mưa biết đã mấy phen đổi dời
𠄼𩄲俸𧡊詔𡗶,Năm mây bỗng thấy chiếu trời
欽頒敕旨細坭伶伶,Khâm ban sắc chỉ tới nơi rành rành
金時改任南平,Kim thì cải nhậm Nam Bình
王時拱改任城雎陽,Vương thì cũng cải nhậm thành thư Dương
攕生車馭倍傍,Sắm sanh xe ngựa vội vàng
𠄩茹拱順𱥺塘赴官,Hai nhà cũng thuận một đường phó quan
侈𦖑𱐭賊㐌散,Xảy nghe thế giặc đã tan
㳥淹福建焒殘淅江,Sóng êm Phúc Kiến lửa tàn chiết Giang
特信金買𡀿王,Được tin Kim mới rủ Vương
便塘共吏尋娘𡢐𠸗,Tiện đường cùng lại tìm nàng sau xưa
杭州旦妬闭𣇞,Hàng Châu đến đó bấy giờ
舌信𠳨特𩯀絲伶伶,Thật tin hỏi được tóc tơ rành rành
